ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   24
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.23 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    35  IFO078      UNDEFINED OP CODE
    36  IFO078      UNDEFINED OP CODE
    37  IFO078      UNDEFINED OP CODE
    38  IFO078      UNDEFINED OP CODE
    39  IFO078      UNDEFINED OP CODE
    40  IFO078      UNDEFINED OP CODE
    41  IFO078      UNDEFINED OP CODE
    42  IFO078      UNDEFINED OP CODE
    43  IFO078      UNDEFINED OP CODE
    44  IFO078      UNDEFINED OP CODE
    45  IFO078      UNDEFINED OP CODE
    46  IFO078      UNDEFINED OP CODE
    47  IFO078      UNDEFINED OP CODE
    48  IFO078      UNDEFINED OP CODE
    49  IFO078      UNDEFINED OP CODE
    50  IFO078      UNDEFINED OP CODE
    51  IFO078      UNDEFINED OP CODE
    52  IFO078      UNDEFINED OP CODE
    53  IFO078      UNDEFINED OP CODE
    54  IFO078      UNDEFINED OP CODE
    55  IFO078      UNDEFINED OP CODE
    56  IFO078      UNDEFINED OP CODE
    57  IFO078      UNDEFINED OP CODE
   221  IFO188      LABELS IS AN UNDEFINED SYMBOL
   229  IFO078      UNDEFINED OP CODE
   230  IFO078      UNDEFINED OP CODE
   231  IFO078      UNDEFINED OP CODE
   232  IFO078      UNDEFINED OP CODE
   233  IFO078      UNDEFINED OP CODE
   234  IFO078      UNDEFINED OP CODE
   235  IFO078      UNDEFINED OP CODE
   236  IFO078      UNDEFINED OP CODE
   237  IFO078      UNDEFINED OP CODE
   243  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   244  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   245  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   246  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   247  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   247  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   248  IFO197      *** MNOTE ***
   248  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   250  IFO078      UNDEFINED OP CODE
   256  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   257  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   258  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   259  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   260  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   260  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   261  IFO197      *** MNOTE ***
   261  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   263  IFO078      UNDEFINED OP CODE
   264  IFO078      UNDEFINED OP CODE
   265  IFO078      UNDEFINED OP CODE
   266  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   25
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.23 09/07/26
0  267  IFO078      UNDEFINED OP CODE
   268  IFO078      UNDEFINED OP CODE
   269  IFO078      UNDEFINED OP CODE
   270  IFO078      UNDEFINED OP CODE
   271  IFO078      UNDEFINED OP CODE
   277  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   278  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   279  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   280  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   281  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   281  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   282  IFO197      *** MNOTE ***
   282  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   284  IFO078      UNDEFINED OP CODE
   285  IFO078      UNDEFINED OP CODE
   286  IFO078      UNDEFINED OP CODE
   287  IFO078      UNDEFINED OP CODE
   288  IFO078      UNDEFINED OP CODE
   289  IFO078      UNDEFINED OP CODE
   290  IFO078      UNDEFINED OP CODE
   291  IFO078      UNDEFINED OP CODE
   292  IFO078      UNDEFINED OP CODE
   298  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   299  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   300  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   301  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   302  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   302  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   303  IFO197      *** MNOTE ***
   303  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   305  IFO078      UNDEFINED OP CODE
   306  IFO078      UNDEFINED OP CODE
   307  IFO078      UNDEFINED OP CODE
   308  IFO078      UNDEFINED OP CODE
   309  IFO078      UNDEFINED OP CODE
   310  IFO078      UNDEFINED OP CODE
   311  IFO078      UNDEFINED OP CODE
   312  IFO078      UNDEFINED OP CODE
   313  IFO078      UNDEFINED OP CODE
   319  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   320  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   321  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   322  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   323  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   323  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   324  IFO197      *** MNOTE ***
   324  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   326  IFO078      UNDEFINED OP CODE
   327  IFO078      UNDEFINED OP CODE
   328  IFO078      UNDEFINED OP CODE
   329  IFO078      UNDEFINED OP CODE
   330  IFO078      UNDEFINED OP CODE
   331  IFO078      UNDEFINED OP CODE
   332  IFO078      UNDEFINED OP CODE
   333  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   26
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.23 09/07/26
0  334  IFO078      UNDEFINED OP CODE
   340  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   341  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   342  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   343  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   344  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   344  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   345  IFO197      *** MNOTE ***
   345  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   347  IFO078      UNDEFINED OP CODE
   348  IFO078      UNDEFINED OP CODE
   349  IFO078      UNDEFINED OP CODE
   350  IFO078      UNDEFINED OP CODE
   351  IFO078      UNDEFINED OP CODE
